10	RT 10
11	RT 11
12	RT 12
20	RT 20
42	RT 42
50012	RT 50012
50013	RT 50013
54001	Interop 1
54002	Interop
54003	Couronne Nord Poursuite
54004	Interop Incendie
54005	Deux Montagnes FD
54101	1  Dispatch
54102	2  Special
54111	Dispatch
54112	Special
54113	3
54114	4
54115	5
54124	Blainville Caserne 7
54125	Blainville Caserne 8
54131	Dispatch
54132	RPD 2
54133	RPD 3
54134	RPD 4
54141	Repentigny FD Dispatch
54142	Repentigny FD Other
54143	Repentigny FD Special OPS
54144	Repentigny FD Prevention
54145	Repentigny FD Mesure Urgence
54151	Assomption PD Dispatch
54152	ASSOMPTION POLICE ENQUETE
54153	Assomption FD Dispatch
54154	Assomption Entraide
54161	Mascouche PD Dispatch
54171	Mascouche FD Dispatch
54181	General
54182	Parcs
54183	Other
54185	Blainville Public Works
54190	General Announcement
54191	Dispatch
54192	Special
54193	Investigations
54194	OPS
54200	General Announcement
54201	General
54202	Operations
54203	Prevention
54204	General
54205	St-Eustache Public Works
54206	St-Eustache PD Mesures Urgences
54211	Dispatch
54212	Special
54213	Circulation
54214	Operation
54215	Enquete 1
54216	Enquete 2
54221	Dispatch
54222	Operation 1
54223	Special
54224	Operation 3
54225	Investigations
54231	Terrebone FD Dispatch
54232	Terrebone FD Operations
54233	Public Works
54234	Public Works
54235	Public Works
54239	Ste-Anne-des-Plaines FD
54241	Therese Blainville FD
54242	Therese Blainville Operation 1
54243	Therese Blainville Operation 2
54244	Therese Blainville Special 1
54248	Bois des Fillions FD
54251	Boisbriand FD General
54261	Ste Therese FD General
54271	POLICE INTERMUNICIPAL DE DEUX MONTAGNES
54272	Special
54273	Circulation
54274	Enquetes
56101	Centre Nord Dispatch
56102	Nord Dispatch
56103	Est Dispatch
56104	Ouest Dispatch
56105	Centre Sud Dispatch
56106	Interetablissements Dispatch
56107	Urgence Sante General
56109	Controle medical
56123	Administration
56201	YUL SECURITY DISPATCH
56202	YUL SECURITY TACTICAL
56203	YUL SECURITY OPERATIONS
56204	YMX SECURITY DISPATCH
56211	YUL FIRE DISPATCH
56212	YUL TACTICAL
56213	YMX FIRE DISPATCH
56214	YMX FIRE TACTICAL
56218	YUL DCCU
56219	YMX MCCU
56221	YUL BATIMENT
56222	YUL DSCHAMP
56223	YUL DFOULE
56224	YUL DACCES
56225	YUL ELECTRICITY
56226	YUL PISTE
56227	YUL TABLIER
56228	YUL DVTP
56229	YUL DPONT
56231	YMX PISTE
56232	YUL DINSTALL
58101	LONGUEUIL PD  South Division  Dispatch
58102	LONGUEUIL PD  South Division  Headquarters
58107	LONGUEUIL PD  North Division  Dispatch
58121	Longueuil FD Repartition
58122	911 A
58123	Nautique A
58124	911 B
58125	Nautique B
58126	911C Reserve
58127	Nautique C
58128	935 Alimentation en Eau
58129	Logistique
58130	Cadre
58131	Aeroport
58132	Rehab
58139	Interop Police Incendie
